PROBLEMÁTICA,OBJETIVO MACRO,NIVEL,NOMBRE DE LA ESTRATEGIA,OBJETIVO DE LA ESTRATEGIA,INDICADOR  DE GESTIÓN SUGERIDO,INDICADOR DE IMPACTO SUGERIDO,ACCIONES,RESPONSABLES,NOTAS PARA LA IMPLEMENTACIÓN
Abigeato ,Desarrollar acciones que reduzcan el número de casos de abigeato en el municipio,prevención,Generación de conocimiento sobre el fenómeno del abigeato ,"Generar conocimiento sobre el abigeato en el municipio y dimensionar las razones que lo originan o favorecen, así como sus implicaciones.
",No de escenarios de diálogo establecidos para analizar el abigeato en el municipio.,"% de reducción de los casos de abigeato

número de investigaciones cerradas sobre abigeato   ","Desarrollar reuniones donde puedan intercambiar información entre los ganaderos, las autoridades de Policía, Ejército y Fiscalía para identificar factores de riesgo, lugares, y estrategias de prevención. 

Realizar alianzas con la Unidad Investigativa Contra el Abigeato para identificar las  estructuras criminales que se dedican a este delito, para atacar toda la cadena criminal, es decir desde las personas que se dedican a organizar todo el tema de logística (el cabecilla), el transporte y el destino final de los semovientes.
 
","Alcalde, Secretaría de Gobierno policía Nacional, Fiscalía, Ganaderos","Es necesario que ud como alcalde pueda identificar  la realidad del abigeato en su municipio. La articulacion conlos entes judiciales sera necesaria para avanzar en la investigación para la persecución del delito. Asimismo,  la coordinación entre instituciones y su efecto en la prevención y fiscalización serran tareas claves para reducir los casos.

No olvide las  instancias de organización entre los actores locales y las autoridades, estas son pieza clave para comprendr el fenómeno y prevenirlo."
Abigeato ,Desarrollar acciones que reduzcan el número de casos de abigeato en el municipio,prevención,Formación para ganaderos,"Generar programas de capacitación que entreguen herramientas a los ganadores para conocer los riesgos, evitar situaciones peligrosas, detectar y responder ante las amenazas. ",No de ganaderos capacitados ,,"Articularse con la Fuerza Pública y el sector privado, para capacitar sobre manejo de situaciones, manejo de emergencias, aseguramiento de carga y transporte, 

Articular con las autoridades competentes la verificación de la documentación y los tramites que se deben cumplir para el transporte de sus animales ( guía de movilizaciones  sanidad y los bonos de venta expedidos por el ICA).","Alcalde, Policía Nacional, Fiscalía, Ganaderos",
Abigeato ,Desarrollar acciones que reduzcan el número de casos de abigeato en el municipio,prevención,Creación de planes con las comunidades ,Desarrollar planes con las comunidades que permitan salvaguardar la seguridad en los territorios y prevenir acciones de abigeato.,No de planes desarrollados con la comunidad,,Desarrollar acciones que permitan una comunicación permanente con ganaderos y autoridades para prevenir el abigeato. ,"Alcalde, Ganaderos",
Abigeato ,Desarrollar acciones que reduzcan el número de casos de abigeato en el municipio,Control,Acciones de control y registro ,"Generar acciones que junto con  las patrullas y el personal de la Seccional de Tránsito y Transportes, se pongan en marcha planes de registro y control sobre los ejes viales.","No de puestos de control nuevos 

No de visitas y registros realizados",,"Articularse con la Policía especialmente con los grupos de Investigación Criminal, Inteligencia, GAULA, Carabineros y las patrullas de los Cuadrantes para trabajar mancomunadamente y evitar el abigeato para identificar  corredores viales durante las 24 horas, realizar controles en los expendios de carnes,  verificar mataderos clandestinos, visitas puerta a puerta y censo a las fincas.

Ubicar algunos puestos de control y establecer  acompañamiento del  Ejército Nacional en puntos críticos identificados. ","Alcalde, Secretaria de Gobierno, Policía Nacional,",
Abigeato ,Desarrollar acciones que reduzcan el número de casos de abigeato en el municipio,Investigación Judicial,Fortalecimiento de la labor  investigativa ,Fortalecer junto con la Fiscalía la labor investigativa para adelantar acciones que permitan desestructurar a las organizaciones que comenten este delito y expedir ordenes de captura.,No de investigaciones judiciales realizadas,,"Desarrollar  planes de contingencia en coordinación con  otras instancias para implementar acciones efectivas de control, seguimiento y judicialización de los delitos","Alcalde, Secretaria de Gobierno, Policía Nacional, Fiscalía",
Amenazas, Identificar cuáles son los elementos o factores que generan riesgos y por tanto concertar acciones o procedimientos de prevención del riesgo de los personas que están siendo amenazadas en el municipio.,Prevención,Generación de mecanismos de protección ,Desarrollar junto con las autoridades responsables del municipio un protocolo que permita implementar medidas de protección para que las personas amenazadas no sientan que al denunciar están en mayor peligro por represalias provenientes de agentes del Estado o de diferentes actores locales.,Número de reuniones para diseñar y poner en marcha el protocolo que permita implementar medidas de protección.,"% de reducción de los casos de amenazas 

número de investigaciones cerradas sobre amenazas","Informar a la Procuraduría sobre situaciones de riesgo de poblaciones especificas en el territorio.

Articularse de manera permanente con la Unidad Nacional de protección para que la UNP desarrolle las evaluaciones del riesgo y en cuanto sea necesario y como resultado del mismo implemente medidas de protección a las personas que han sido amenazadas en el municipio.

Solicitarle a la UNP formación (curso de autoprotección)  como una herramienta pedagógica para brindar a las personas, grupos y comunidades en situación de riesgo elementos prácticos para disminuir su vulnerabilidad.

Coordinar con lo entes judiciales las Investigaciones pertinentes  que aclaren los hechos y los responsables directos e indirectos de las amenazas, con énfasis a poblaciones que tienen especial protección.


","Alcalde, Secretaria de Gobierno, Personería, Defensoría, Unidad de Víctimas","Para implementar algunas de estas estrategias es necesario contar con el apoyo de la Fuerza Pública, diferentes instancias del orden local  y la participación de las comunidades en riesgo. "
Amenazas, Identificar cuáles son los elementos o factores que generan riesgos y por tanto concertar acciones o procedimientos de prevención del riesgo de los personas que están siendo amenazadas en el municipio.,Prevención,Fortalecimiento de las capacidades locales en materia de prevención,Implementar un programa en el territorio que propicie estrategias de prevención adaptadas a los contextos y particularidades del municipio  y grupos poblacionales,Número de encuentros locales para el diseño del programa de prevención.,,"Fortalecer la mesa de prevención del municipio para coordinar las acciones  identificación de riesgos permanentes, proyectar escenarios de riesgo, formular planes de prevención y contingencia frente a riesgos identificados, velar por la implementación y seguimiento de dichas estrategias.

Fortalecer capacidades de los servidores públicos que atiende los casos de amenazas en el municipio para desarrollar  acciones puntuales en materia de prevención mediante jornadas de capacitación y de divulgación dirigidas a las autoridades locales del municipio sobre las garantía de protección a los ciudadanos y aquellas poblaciones con especial protección.","Alcalde, Secretaría de Gobierno, Defensoría, Personería, Unidad de Víctimas, Policía",
Amenazas, Identificar cuáles son los elementos o factores que generan riesgos y por tanto concertar acciones o procedimientos de prevención del riesgo de los personas que están siendo amenazadas en el municipio.,Prevención,Comprensión contextual,"Realizar diagnósticos en las zonas con presencia (ocasional, frecuente o transitoria) de grupos armados  para identificar situaciones de riesgo a las que están expuesta los habitantes del municipio haciendo énfasis en poblaciones con especial protección.",Número de diagnósticos realizados en el municipio,,"Realizar encuentros y talleres con diferentes actores (institucionalidad pública local, organizaciones sociales, gremios, etc.), –teniendo en cuenta los diferentes grupos poblacionales (enfoque diferencial) – que contribuya a identificar causas y factores de riesgo asociados a las amenazas.

Realizar visitas a las zonas más remotas para conocer de primera mano las necesidades en seguridad o que afectan a la comunidad de la zona y apoyar de manera más directa las actividades que desarrollan los inspectores o corregidores.

Dialogar con las autoridades tradicionales de resguardos y territorios colectivos,  ( si se tiene en el municipio) para definir acuerdos de colaboración para prevenir las afectaciones a sus líderes.

Dialogar con organizaciones sociales presentes en el municipio para identificar las causas y posibles alternativas de protección a sus lideres. ","Alcalde, Secretaria de Gobierno, Policía, Defensoría y Personería ",
Amenazas, Identificar cuáles son los elementos o factores que generan riesgos y por tanto concertar acciones o procedimientos de prevención del riesgo de los personas que están siendo amenazadas en el municipio.,Control,Salvaguardar los derechos y libertades pública de las personas amenazas.,"Salvaguardar, junto con las demás autoridades locales en la materia, las condiciones para el ejercicio de los derechos y libertades públicas de las personas que han sido victimas de amenazas.",Número de visitas de la Policía a las personas con medidas de protección,,"Solicitarle a la Policía patrullaje en territorios identificados con alto riesgo para neutralizar las amenazas
.
Solicitar revista policial para tener interlocución periódica con las personas que han solicitados medidas de protección 
","Alcalde, Policía, Personería ",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Prevención social,,"Realizar una caracterización del consumo de SPA y alcohol en el municipio, que incluya qué, dónde, cómo, quiénes y cuándo se consume, así como las prácticas de riesgo más frecuentes en el consumo.",# de caracterizaciones realizadas,,"* Recolectar información de inteligencia de la Policía Nacional, sobre lugares y sustancias que se consumen, así como información que suministre el Comité Municipal de Drogas.

*Conocer y capacitar a funcionarios municipales sobre los enfoques de prevención, reducción de riesgos y mitigación de daños en el consumo de alcohol y SPA.

* Identificar organizaciones sociales que trabajen con consumidores de SPA, y realizar entrevistas con sus miembros.

*Realizar entrevistas y grupos focales con consumidores de SPA, para identificar lugares, sustancias, hábitos de consumo y prácticas de riesgo.

*Realizar entrevistas con familiares de consumidores de SPA, para identificar prácticas de riesgo, así como con la comunidad educativa (docentes y estudiantes del municipio).

*Realizar un mapeo de lugares donde se consume alcohol y SPA ilegales.

*Construir un documento de caracterización del consumo de alcohol y SPA en el municipio.

","Alcalde, Secretaría de Integración o Desarrollo Social.",
