Tema,Fuente Estadística,AñoMes Corte Estadística,Estadísticas (1),Año,AñoMes,Departamento,Municipio,COD_MPIO,Σ Cantidad,Mayor de Edad,Menor de edad,Edad n.d.,Masculino,Femenino,LGTBIQ+,Género n.d.,Indigena,Afrocolombiano o Negro,Gitano - ROM,Otro,Etnia: n.d.
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2019,201902,Antioquia,Abejorral (Ant),5002,2,2,0,0,2,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202112,Antioquia,Abejorral (Ant),5002,2,2,0,0,1,1,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2022,202205,Antioquia,Abejorral (Ant),5002,2,2,0,0,2,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2019,201904,Antioquia,Abejorral (Ant),5002,1,1,0,0,0,1,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2019,201905,Antioquia,Abejorral (Ant),5002,1,1,0,0,0,1,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2020,202002,Antioquia,Abejorral (Ant),5002,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202109,Antioquia,Abejorral (Ant),5002,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2022,202208,Antioquia,Abejorral (Ant),5002,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2022,202209,Antioquia,Abejorral (Ant),5002,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2022,202212,Antioquia,Abejorral (Ant),5002,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2019,201901,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2020,202001,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202101,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202102,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2022,202201,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2023,202301,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2024,202401,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2020,202001,Norte De Santander,Ábrego (Nsa),54003,2,2,0,0,2,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202103,Norte De Santander,Ábrego (Nsa),54003,2,2,0,0,2,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2022,202211,Norte De Santander,Ábrego (Nsa),54003,2,2,0,0,2,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2019,201911,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2019,201905,Norte De Santander,Ábrego (Nsa),54003,1,0,0,1,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2019,201906,Norte De Santander,Ábrego (Nsa),54003,1,0,0,1,0,0,0,1,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2020,202002,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2020,202008,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2020,202009,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2020,202011,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2020,202004,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,0,1,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202104,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202107,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202108,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202111,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2022,202209,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2022,202207,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,0,1,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2023,202301,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2023,202302,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2023,202303,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2023,202304,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2023,202305,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2023,202306,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2023,202308,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2019,201901,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Extorsión ( Personas Víctimas ),2021,202101,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
