Tema,Fuente Estadística,AñoMes Corte Estadística,Estadísticas (1),Año,AñoMes,Departamento,Municipio,COD_MPIO,Σ Cantidad,Mayor de Edad,Menor de edad,Edad n.d.,Masculino,Femenino,LGTBIQ+,Género n.d.,Indigena,Afrocolombiano o Negro,Gitano - ROM,Otro,Etnia: n.d.
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2021,202107,Antioquia,Abejorral (Ant),5002,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202304,Antioquia,Abejorral (Ant),5002,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202306,Antioquia,Abejorral (Ant),5002,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2019,201902,Antioquia,Abejorral (Ant),5002,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2021,202102,Antioquia,Abejorral (Ant),5002,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2021,202103,Antioquia,Abejorral (Ant),5002,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2022,202203,Antioquia,Abejorral (Ant),5002,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202302,Antioquia,Abejorral (Ant),5002,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202307,Antioquia,Abejorral (Ant),5002,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2019,201901,Antioquia,Abejorral (Ant),5002,0,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2020,202001,Antioquia,Abejorral (Ant),5002,0,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2021,202101,Antioquia,Abejorral (Ant),5002,0,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2022,202201,Antioquia,Abejorral (Ant),5002,0,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202301,Antioquia,Abejorral (Ant),5002,0,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2024,202401,Antioquia,Abejorral (Ant),5002,0,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2019,201911,Norte De Santander,Ábrego (Nsa),54003,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2020,202002,Norte De Santander,Ábrego (Nsa),54003,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2021,202101,Norte De Santander,Ábrego (Nsa),54003,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2021,202104,Norte De Santander,Ábrego (Nsa),54003,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202303,Norte De Santander,Ábrego (Nsa),54003,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202311,Norte De Santander,Ábrego (Nsa),54003,2,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2019,201907,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2019,201908,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2019,201910,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2020,202003,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2020,202004,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2021,202105,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2021,202108,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2022,202204,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2022,202210,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2022,202211,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2022,202212,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202306,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2023,202307,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2024,202401,Norte De Santander,Ábrego (Nsa),54003,1,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2019,201901,Norte De Santander,Ábrego (Nsa),54003,0,,,,,,,,,,,,
Hurto _ Delitos contra el patrimonio económico,Policía,feb-2024,Hurto de Automotores ( Unidades ),2020,202001,Norte De Santander,Ábrego (Nsa),54003,0,,,,,,,,,,,,
