Tema,Fuente Estadística,AñoMes Corte Estadística,Estadísticas (1),Año,AñoMes,Departamento,Municipio,COD_MPIO,Σ Cantidad,Mayor de Edad,Menor de edad,Edad n.d.,Masculino,Femenino,LGTBIQ+,Género n.d.,Indigena,Afrocolombiano o Negro,Gitano - ROM,Otro,Etnia: n.d.
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2019,201901,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2020,202001,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2021,202101,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2022,202201,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2023,202301,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2024,202401,Antioquia,Abejorral (Ant),5002,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2023,202307,Norte De Santander,Ábrego (Nsa),54003,2,2,0,0,2,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2019,201907,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2019,201902,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,0,1,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2021,202103,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2021,202110,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,1,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2022,202206,Norte De Santander,Ábrego (Nsa),54003,1,1,0,0,0,1,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2019,201901,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2020,202001,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2020,202011,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2021,202101,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2021,202108,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2022,202201,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2023,202301,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2023,202303,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2024,202401,Norte De Santander,Ábrego (Nsa),54003,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2019,201901,Antioquia,Abriaquí (Ant),5004,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2020,202001,Antioquia,Abriaquí (Ant),5004,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2021,202101,Antioquia,Abriaquí (Ant),5004,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2022,202201,Antioquia,Abriaquí (Ant),5004,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2023,202301,Antioquia,Abriaquí (Ant),5004,0,0,0,0,0,0,0,0,,,,,
Secuestro _ Extorsión,Policía,feb-2024,Secuestro ( Personas Víctimas ),2024,202401,Antioquia,Abriaquí (Ant),5004,0,0,0,0,0,0,0,0,,,,,
