Municipio ,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cali (Vac) Cap.,71.50587330334187,62.700770519753256,58.836521450056125,56.40150252877315,52.70146639361261,50.145193534125276,48.34379228417094,14.692053411677335,13.123836240341104,13.729755983080022
"Bogotá, D.C. Cap.",18.613118608720395,18.698617470970742,17.518344953333266,15.727536913714836,14.542872198372331,14.039485196047714,13.584789684340883,15.739035138853264,14.810800632845993,14.168741420092255
Medellín (Ant) Cap.,28.732111644527535,21.372023590232814,23.13833192192344,24.48618836419683,26.121396926162554,23.877159463589347,14.565268190401607,29.219432541658893,27.505327728646606,30.43981769261661
Barranquilla (Atl) Cap.,29.777846844633437,36.78594466046832,33.8313826757626,30.655623867350915,27.438844948972868,23.41004749584894,23.85717088483422,22.415381933202163,35.8281952731426,36.78782247998724
Cartagena De Indias (Bol) Cap.,32.117883409927664,29.91814182695133,25.81147468148217,26.03338965188444,23.431598744148523,18.432077793331576,22.551947243996516,33.634094056157515,31.818744270732054,38.08408160802807
Cúcuta (Nsa) Cap.,27.67360700785482,26.75477907241181,38.96886902048439,37.06390193123198,27.258101908769664,27.496105830642673,34.22956456390763,32.197557121124845,28.46274883010804,31.466558121475344
Soledad (Atl),19.674289381216017,16.388541707938177,20.23931672066751,22.64011141679073,23.84109907466734,22.568233643907753,24.059390605710195,70.02746632845994,76.55658580944016,34.93368422278375
Tumaco + (Nar),61.39991813344248,53.49794238683127,59.61505706012604,85.60582119584132,100.14311792049268,85.22849446601221,82.8626114560478,31.079803795026866,35.84417559301292,36.240464452051356
Santa Marta (Mag) Cap.,20.97778085355779,17.260778397176903,18.44129172866154,19.537435783533436,21.43463837561499,25.132424856927436,23.950450416997764,22.33191089695163,17.567995565936894,18.5261152059707
Soacha (Cun),37.01963191360807,29.965893365006373,32.76118468560412,26.3404544132381,23.932903045992074,21.71228125581579,20.30394878627506,63.47525421998801,35.78860022233272,48.427216095445644
Buenaventura (Vac),50.848302564017345,26.150367925746195,19.76831534416637,23.278459556135513,30.176385842407882,37.71833110891894,35.596660969062974,109.94343599775563,133.91715192825652,79.16000776664227
Quibdó (Cho) Cap.,61.81362789801554,59.566830012151634,91.25307782471543,74.09487263481367,73.50836060880398,71.51535657710585,117.71450410854195,43.78836745176964,31.772043945753417,32.92978208232445
Palmira (Vac),41.97610590894414,59.05068712198059,43.04390187153722,44.84317906315366,44.94780900902965,37.78237352847598,31.895225595212896,58.17335660267597,46.02805003519792,56.45388926972861
Tuluá (Vac),61.06071179344033,55.90765597513073,50.75291470158723,46.14542946171594,47.48806921033454,50.93111335413793,67.63797232327295,21.488956792545284,18.57934267901197,20.533287988989024
Bucaramanga (San) Cap.,19.691966589296687,16.219577029474575,18.323391855519166,16.834633048839724,15.83122537125944,19.97867821736466,17.944513588441758,25.790188497159956,23.487091370966247,23.65107326939388
Pereira (Ris) Cap.,35.78718553667524,33.58511191744648,32.45953994592981,29.61086567473869,24.611091255786285,26.671972836924173,22.220964431782686,78.99934167215272,128.0130973944545,130.45919910147308
Santander De Quilichao (Cau),77.70670457237621,67.47132468700802,71.35840453728245,48.52813258252071,63.37996287745032,93.9269516678743,68.14098990274422,18.01026952919685,26.08468828797496,23.41535260661135
Valledupar (Ces) Cap.,16.770344664123538,23.960994139448587,14.657604818040925,16.013620005225498,17.548334438606336,16.547105716538344,12.383761511269224,20.73021264833922,16.601314030095295,22.210320992872994
Villavicencio (Met) Cap.,28.153552309907823,28.82463094532862,26.733689522345074,21.468276787425722,22.587172368359138,17.445399611004706,18.155077369971135,68.42020716448813,63.79962192816635,68.03838303263497
Jamundí (Vac),49.95881773132958,47.089410188556606,51.457417358736365,56.29730092826573,65.05000719302964,46.29657831736305,61.62240423100624,28.03483941208492,22.953245588926276,25.996371228181136
Neiva (Hui) Cap.,19.04862381019365,17.96757721711209,17.18961288991772,23.512814483893724,23.503603885929174,18.280067248489818,21.130161796667473,10.5201032039955,9.833394206726043,10.546772341867573
Bello (Ant),20.16481094970023,20.407580191586362,20.615626644996908,16.077454115534156,15.317923502290029,25.068380972541764,20.82752275633247,102.09336573818925,53.82421012971634,54.33233575602109
Yumbo (Vac),63.27327239630483,81.99488737761058,90.75537128500052,69.03138563958052,78.26038347587902,101.02030508132135,67.23055537889869,32.742987003303476,25.595822761725287,25.24248562755975
Armenia (Qui) Cap.,32.57557182388175,42.851767722515646,37.35072678289198,29.48254701780609,29.809490257716593,22.65201836145959,28.21855599742752,25.833551408767303,28.559473443010567,50.65356252425779
Sincelejo (Suc) Cap.,16.399757436145826,22.623410705397948,20.847138357990037,18.346334769239803,14.400247684260169,17.094911647216843,14.288095634986783,13.148650398973226,21.63767997286518,11.816735985060546
Montería (Cor) Cap.,26.058854563823903,19.222116840897904,20.467579771347893,14.037985136251033,18.943444651532282,18.24166396048575,14.248002311342598,69.12418624325524,60.96136065756988,49.02009824027852
Caucasia (Ant),68.28637147786084,52.98730659633092,42.77852286916709,61.23282079194448,169.59861660736257,151.54120631099264,88.02540161589488,16.95152600585196,14.523420394191367,13.205920654426736
Ibagué (Tol) Cap.,18.332556475000438,19.931921843644716,19.391156096886665,17.71172173171122,15.671169767858997,13.803729618513412,11.827736411501734,51.43362165138146,79.1218908693338,76.41656311151105
Cartago (Vac),49.003593596863766,54.959337517174795,34.13501139070489,53.36377044684747,35.36458678690626,39.53263638759554,28.40453889965186,60.938452163315056,68.16580374375785,55.51373014243455
Guadalajara De Buga (Vac),65.58309694445981,68.77850948273817,52.13640780150247,62.36727218182823,56.45066447136305,56.11147479659591,47.3069913529024,24.684661073508483,23.280423280423282,20.696978241176787
Popayán (Cau) Cap.,22.75222823452601,28.358899805073307,19.00718084849344,18.46816152636171,20.750866977510462,18.94462888714281,21.506896032592167,60.49789769805499,56.598996112542636,49.86287708800798
Turbo (Ant),30.762394681523762,49.75921599716626,72.35649295563799,76.94322572195665,84.30213886569464,55.6578998941716,41.47752148766044,129.33351249664068,71.85228506976355,59.8812355494935
Tibú (Nsa),79.03376160175091,56.13472333600642,82.90728202293768,135.37295248409367,149.29272571193968,169.88143691382055,132.83152534868276,61.22276642459044,69.17296385188601,56.193806193806196
Candelaria (Vac),28.74620550087388,36.356199868208776,67.31740154830024,43.27419193768516,64.25265450585353,78.34046982818755,82.79287981233614,32.75484058430409,28.112554337923317,19.006035700526517
Maicao (Lag),28.357195143665464,55.47921787204944,57.85799635243066,62.90806261489883,62.14020236601751,47.530643285318064,45.92807123714014,18.304616987623263,41.92110448136607,56.88676758286738
Barrancabermeja (San),31.722317161773585,33.02308567712567,16.11985109287553,14.45785535164994,14.73933486294875,19.759607506723086,12.812664607149467,64.160956869579,62.74805088866927,52.85782023677194
Ciénaga (Mag),18.86727728036774,24.800314707441803,21.27732007898141,16.903027332195197,16.656811386596264,23.715091793760475,32.974368460418695,328.35820895522386,144.37493058897567,117.52607609813427
Argelia (Cau),43.833432954771865,78.96711019860228,128.99695098115865,142.82956958116193,118.57405140758874,181.98362147406735,334.737475552881,135.0337584396099,130.5193685817716,96.99085861157586
Segovia (Ant),61.695504641184556,185.65728219906893,152.9845649501434,104.92050254230449,108.17941952506597,214.5146283469451,152.3654739835953,25.189526969748346,24.82242419613534,31.557033450455457
Riohacha (Lag) Cap.,36.12934304811224,30.582658456399127,35.494286564840046,31.0808935756903,34.040018296509835,33.20612831869709,24.772219442228707,239.19237398431179,103.92129693778578,40.92909035096695
Tarazá (Ant),127.02949466079154,105.60901196902137,77.00304162014399,124.99526533085869,426.49458537309005,312.5340698477305,278.6211823539918,116.24045167718366,97.01806732687766,41.7695772192358
El Tambo (Cau),69.80210160922142,71.41380541617335,58.00246978258429,67.13286713286713,85.35748084095674,91.01040118870728,154.36403875839238,58.89646621202728,183.7278378295618,39.378426680398626
Saravena (Ara),111.3890408817322,44.6272653187939,32.53713060787016,48.77225234013019,52.20146164092595,85.43142871501081,44.44162275411085,206.68408532542995,116.06762873834487,207.2697961847004
Corinto (Cau),76.4464472519514,160.55229991169625,123.6685682371245,139.63694394574108,221.46642410820218,284.11332965038275,204.40251572327043,35.18772652098948,50.77165967686968,53.64659275358331
Malambo (Atl),11.072216402211037,7.542173319142873,14.803970753933333,24.949497388351,17.160284860728687,17.84811256209656,22.2117134545663,139.46096714559076,86.23718419623751,56.607333794578274
Cáceres (Ant),105.44304257717339,97.08388767034627,74.6427809767541,56.04006864908409,224.16885087598288,282.6759994615695,273.42205824219263,121.06537530266344,129.5275775987942,114.48865627701583
Puerto Tejada (Cau),107.06377594471616,131.25911521633446,121.33271858089253,120.89851778417197,153.79070046858104,136.86131386861314,90.92431746943268,12.991412930786337,10.686778165385526,10.928239587674978
Pasto (Nar) Cap.,15.037204117082783,15.230208473158696,16.958559447459297,14.07632439017524,12.979411091034025,13.494658152301222,15.537878035299004,47.013125139690636,44.78042412374577,33.62952223658743
Apartadó (Ant),36.90767679677373,23.842533313317382,32.019384708580326,46.584903103401544,44.62699271918878,36.90421751024895,28.96417835671343,162.82315411709976,248.69923754049543,80.55161747647892
Remedios (Ant),48.29482130916116,91.86448151686632,72.6480203414457,71.76432595356849,119.65511173675876,127.31839922920753,162.00344257315467,21.280934942408468,21.519921298573536,26.94644611145398
Dosquebradas (Ris),30.466279148491676,26.301820564197964,21.73995236114787,26.148307597484163,20.720330788569743,15.4005734448818,15.640221286788034,44.037647871513684,41.40215291195142,43.937488154108586
Ipiales (Nar),32.689555245348366,21.94252813032106,19.18147418347952,19.939660852377152,30.998140111593305,28.45023794744465,37.98473704202493,63.823846184530694,167.47448476967332,101.34871754892023
Tame (Ara),121.62059442065522,59.98350453625253,63.7364253670973,40.56407931470567,61.4586178639716,85.577972229948,34.71584063387041,11.109284251034275,7.707943806887378,7.852683654638972
Manizales (Cal) Cap.,24.365831460110506,20.401482191403858,18.108784406690372,16.071441049255473,17.955677101677473,12.482751107560462,10.758472296933835,40.42622975828166,33.38796819037212,37.01269762136766
Ocaña + (Nsa),33.210961412453216,22.324418448899404,29.172560113154173,36.58249788779625,25.365045276605816,29.694309125783487,30.16054691125066,54.29758008893063,52.11801835712424,89.99228637545353
Puerto Asís (Put),131.77208433413398,78.58031563093445,40.13807497792406,47.192071731949035,63.20625279417886,65.06870044186188,56.53836425585098,38.62495171881035,68.57986917071112,104.56149522938179
Zona Bananera / Prado - Sevilla (Mag),18.269390466699882,19.351405395816872,20.342377867492882,27.25497024665748,26.19248566688979,30.735700913688564,41.929855409627635,35.91702291681267,40.766408479412966,52.85324964902139
Girardot (Cun),26.41765158563339,48.950348771235,35.456420835482206,44.470184292717235,37.61705834603734,30.366581576974536,25.502768872048968,59.51000070605085,46.82907388033677,46.32504410735583
Arauca (Ara) Cap.,43.837029396596186,16.57402213269417,15.031378001578295,18.33202972233086,32.716013320091136,35.91836734693877,26.855620054950734,37.234702742956436,32.6324701897975,38.62936006953285
Villa Del Rosario (Nsa),33.051705261418334,36.03121332537216,34.726123236883225,44.36870392965544,32.368173258003765,34.48661546491686,44.043360238732994,36.234677357181404,32.12433647947867,40.99138421831708
Pitalito (Hui),27.6436389395209,17.81533136516339,29.164236313640526,19.642827912458465,26.536077002870723,22.891965709414123,27.209826634533155,84.65352521465715,111.95007503036945,100.8490079272011
Puerto Berrío (Ant),90.45440034053422,42.19743123137379,60.04908359876768,98.13796131298261,45.78521646232894,114.86216540151817,81.05519121656474,127.00764691874157,105.00341261090985,135.42724692033232
Patía / El Bordo (Cau),70.9490803907657,89.93295906687743,49.109213434098166,68.09020590478266,113.98176291793312,80.68203211144879,77.34570864671682,100.25621031525009,74.59903021260725,86.41361878632073
Andes (Ant),75.48416012077466,58.816609810610515,53.88562191036243,70.06562813835626,99.37830779541935,77.78006542676093,92.76227968958574,64.00760776137965,77.44259342638452,37.23932472691162
El Bagre (Ant),111.43584028931268,92.79689852143609,76.78629162625283,23.741690408357076,98.33789672592648,79.35758148323099,96.57170449058425,45.033081994850065,28.673999564155206,22.79591953040406
Montelíbano (Cor),35.55766267630674,21.993376112606086,31.77346788337866,19.971789846841336,48.994990262245686,72.69866997187395,52.39564533969843,173.63571934798017,115.15912897822446,85.90179706559461
Ituango (Ant),105.92819581583626,64.08081721889253,18.779342723004696,67.19928320764578,232.69557509049272,116.70739268390533,140.34330130627228,17.158643094504086,18.109175692958928,16.793551276309895
Florencia (Caq) Cap.,41.053133621912714,40.27434644353477,32.304958811177514,33.372665403272904,22.572558896558277,24.59534796561336,25.431908953765944,30.54317318804689,39.055507640233685,31.311971610479073
Aguachica (Ces),24.0120060030015,21.634804500039337,20.247989663883374,11.308059819636446,29.191487032594118,30.549275982159223,16.01321511647507,51.4818183378237,71.56366610438072,65.97980003045221
Florida (Vac),72.64995127137415,81.37272244825756,67.00403787491405,45.71107086974103,31.373095827378254,57.19633943427621,53.484239402356756,48.91907655835482,57.7098497682298,53.403064230995874
San Vicente Del Caguán (Caq),98.59502095144195,69.09586034507286,66.28902012775703,63.643595863166276,84.78085135747945,117.95645279808176,45.63344931835035,51.11236650256907,169.8423650549334,117.8318931657502
Puerto Guzmán (Put),40.39023177779159,36.45754215403311,23.762846789045327,66.6917969089802,42.38485447866629,55.475424386996565,62.730124096549844,108.21172396735098,110.42267345561622,130.85420407169593
Miranda (Cau),29.757968522682187,42.603395162876055,51.85545292497164,41.94224874979835,66.96428571428571,100.84139539280875,77.9253163767845,92.84763702763765,141.24293785310735,73.11054924300119
