Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bogotá, D.C. Cap.",54.58469375698078,61.939170372590574,57.67767834127161,56.51828039963208,56.242332277378715,58.55492606156485,28.855339747209467,53.40708208032839,63.86005561114871,49.50995187682878
Cali (Vac) Cap.,42.22426408156259,45.41346836332239,44.53724301714775,50.77948780725558,54.31752498830602,51.30513573331323,24.07808562640916,35.85387866552923,34.85455566579436,39.9176399402759
Medellín (Ant) Cap.,46.6515318052268,51.49106489985527,48.190680271211875,57.48384288923606,62.00741699349313,41.9158903905506,32.88208750245242,31.788964798967832,34.7881596259871,30.636135038656928
Barranquilla (Atl) Cap.,49.571867487713384,46.19831078251303,51.98898552958961,57.077045543078775,54.877689897945736,66.52958515143324,33.730714196839614,40.783851753397244,40.305591048349186,40.31015461769774
Cartagena De Indias (Bol) Cap.,54.320178653032016,53.10470174283861,55.960123387311754,56.87616052459894,68.34216300376653,68.54740282060607,71.48442331356506,41.66962026043992,57.43885273948257,46.07862458590238
Pereira (Ris) Cap.,72.45800528413258,59.26784456019966,69.92961290364745,75.21592156794938,83.89171975885411,94.41031654974746,59.32349043893839,95.88126529992533,100.12917900254033,99.49761858158806
Ibagué (Tol) Cap.,47.781663152926676,59.21522411801246,61.24533460303808,74.27496210072447,76.84537464480256,85.43389412539382,56.48246292879909,68.17461545831766,83.27986631099607,81.4365107022982
Villavicencio (Met) Cap.,100.25905318995952,88.46179841842232,95.81198215672578,109.44987540732222,94.86612394710838,84.44315769156533,70.79976290311957,80.92056691676274,76.14950565978494,50.152337725842244
Neiva (Hui) Cap.,57.43892718150701,44.33934377771209,47.27143544727373,77.62061648899855,98.49129247436989,103.31007702555608,30.522275953223946,83.56015242242788,89.11260052171377,86.29723232447759
Soacha (Cun),70.97027879810874,63.92723917868026,49.056014764831296,54.620083384506,54.530665168083196,50.89697099577597,41.842103288076316,39.814606856279475,38.97125776950789,38.495823804614446
Valledupar (Ces) Cap.,70.2118429937972,76.71914637309686,70.27028192178443,70.79705686520745,67.74473294903842,70.27653133729815,25.736514709704984,47.78234773052226,53.79966959394836,51.65677025428001
Cúcuta (Nsa) Cap.,28.57112939729876,31.36254657932718,27.939943826007678,39.52517666885286,47.91243686026007,32.7016792645993,40.103079767996256,40.23399175774314,39.647165480197884,40.22081225930358
Santa Marta (Mag) Cap.,52.985116588883066,54.978775635452365,62.239359584232695,57.78967847550417,65.10521001939134,59.665527713774296,30.29165596580994,47.35099519359975,62.998854072568164,46.287325884303215
Bucaramanga (San) Cap.,53.97057509659091,69.38374618164124,56.03755761639357,62.253070128521905,57.64630977578167,58.59293023411988,37.878787878787875,46.233816129415615,37.481804361137186,28.23327098485991
Manizales (Cal) Cap.,58.04801024320444,59.06940774022745,55.03189027487724,66.14911968099354,62.61466886738812,58.10153242791779,30.67278275358476,54.65767851508863,55.27696844367805,54.75065548095506
