Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bogotá, D.C. Cap.",4.039736112855612,7.135722402524863,5.889670312692185,6.160179103118808,10.252859805902572,11.95858588931644,19.666953126664605,21.967874823194347,16.895199017218296,21.20958648208888
Medellín (Ant) Cap.,13.515864354785334,10.470568008924545,14.291322657658597,20.461061509808314,23.81414420082328,25.366965366039274,25.025420142858046,24.716114440273273,25.717979393469008,33.688443695644885
Cali (Vac) Cap.,10.3265863242952,12.851142608352053,7.058561009875155,13.556309691401266,13.646717021855396,22.306580753614448,26.41373407629174,25.035898033688518,15.38861514301109,21.155913861476648
Barranquilla (Atl) Cap.,8.073876841256295,9.930478018671026,8.993152356848286,6.351303287434581,8.78706212867409,9.734074731950933,9.888169511477338,12.104092108286137,31.619698081408153,64.49624738831639
Villavicencio (Met) Cap.,47.80027586430393,46.914571745500375,29.270462980669787,31.62737205290397,40.65691026304645,36.37551408252045,30.258462283285223,32.18638279610563,44.57091918949498,45.31621944513603
Cúcuta (Nsa) Cap.,12.864487582029806,14.566490828313096,21.910798053027072,21.138006570155742,19.53028951195352,24.159199783234584,19.045020885181685,19.926614214402754,23.990323061266235,37.32994137816613
Quibdó (Cho) Cap.,37.73039624943806,58.77260561198962,70.0131372965489,90.47373921724616,64.99686622252142,66.13248027560327,45.098413911714125,122.83335608025112,267.83430385651303,222.54417277791885
Buenaventura (Vac),31.904817295069712,18.53696966888338,14.167292663319232,20.655534535725877,29.202954041039884,38.36308890565259,32.38975457545369,76.55307041606594,81.39531201008414,45.282591673663454
Cartagena De Indias (Bol) Cap.,15.95116357271575,13.463163822128099,11.213181623922583,7.0049682999046485,10.893638012630454,9.66438673488196,12.63686699017046,12.931951115308939,29.193344296634713,12.481582627138526
Bello (Ant),2.494615787591781,5.918198255560045,7.205461739998919,12.156123843452653,19.14740437786254,24.13992241800318,20.82752275633247,16.047615056942288,34.41687972354115,39.07492703708314
Popayán (Cau) Cap.,43.5260018399628,37.81186640676441,35.43711683617421,35.98107331860126,44.01699055835552,42.5477730744027,43.62827480897268,34.741374844197125,43.839758125472414,41.39395648235357
Ibagué (Tol) Cap.,25.158508353989962,24.769766951325476,13.247423472130494,12.379160350120744,16.992834688039878,20.332520654296783,20.14411357583889,21.00515178986004,30.885248433217086,25.127932356339755
Soledad (Atl),3.8613091308928635,2.701407973835963,2.4639168181682187,3.773351902798455,4.304642888481603,9.403430684961563,5.86447646014186,7.975541672205237,21.748459362492813,43.158260909729954
Santa Marta (Mag) Cap.,15.138604739680877,24.079851344209754,19.069972128502275,12.95640478276428,14.623631788970979,16.115447999861868,17.823591007998335,14.44296764592425,27.516740859282645,23.68188766173653
Tuluá (Vac),22.292005892843296,31.3275658481336,20.588446529889158,30.446468923194026,31.9721654089381,52.78315383974294,40.217172732756886,28.177719604421178,64.98077652027942,43.908580543122255
Valledupar (Ces) Cap.,15.428717090993654,20.66360962484557,13.148733733830829,15.592208952456405,17.752384839055246,12.458997245393578,15.948783764513394,13.599591277148644,19.382372547314727,18.41054441588526
Itagüí (Ant),17.055717929435843,48.862981328996746,23.28577276841548,21.39921339443178,16.983204694591393,20.789727760276822,23.448761008848457,17.993488394199986,39.45195220295689,33.249277404317795
Bucaramanga (San) Cap.,9.663650270673374,7.569135947088135,7.293777340546464,6.839069676091138,12.217576101732831,11.080611448286282,14.816570852841819,12.860815050083922,13.08631962608669,12.35205605587621
Neiva (Hui) Cap.,30.47779809630984,24.922768397929673,23.20597740138892,10.48161609522973,16.508483681783588,16.61824295317256,18.660402625628418,21.502449646162223,18.362596471141018,21.440306167572075
Pasto (Nar) Cap.,25.66695185502061,24.00693877972472,10.7918105574741,21.498386341358543,15.778891914590385,19.350830558016845,22.160580148705133,15.029281625811644,13.994590454671522,13.21554554788602
Soacha (Cun),4.028042850703469,2.1793376992731908,2.401343380096637,3.878349116059597,4.998644307074294,4.0886763403808954,9.42209388121261,9.443208036425261,8.165406389801655,9.022458704206512
Pereira (Ris) Cap.,12.812696056340519,11.853568912039934,18.29933795609466,12.103711516681507,15.19467373183327,21.16823241025728,16.351275713953296,8.527401035351277,11.743545685483124,6.116656880015658
Palmira (Vac),9.686793671294803,10.816214967887534,8.434278069422835,7.811392481968702,11.73796286223067,13.35166583337121,10.443569442680328,14.876817147075583,14.49251127350156,24.351435489450015
Jamundí (Vac),10.801906536503694,15.917547105990968,8.46767627422244,9.596130840045292,16.26250179825741,32.89493722549479,29.913788461653514,39.267249329184494,22.448015122873347,39.29803157919434
Granada (Met),63.4527586473729,76.10813443740867,41.96957206025631,54.6246401417288,65.33480457634009,75.96388132435143,70.8446094336682,78.68041700621013,86.44126873475078,63.659890117494015
Montería (Cor) Cap.,9.398275416461079,15.208707830160979,15.246258401106086,15.483071841453343,14.869585586686629,16.437543349009136,9.300779286570862,6.86869796961288,7.797362152383848,9.879566151444063
Sincelejo (Suc) Cap.,23.64616188467538,17.721671719228393,17.496705407598782,16.51170129231582,16.560284836899193,13.606154168192997,16.669444907484582,19.123538055840733,17.60060572650651,16.77488109569576
Rionegro (Ant),8.786293382323576,7.84984810543916,14.643206708130064,18.896304638664862,24.3605359317905,27.229797997893275,39.86153362005665,35.11381005494279,43.39453771256543,15.355240142603447
Armenia (Qui) Cap.,9.107149112052962,10.451650664028206,10.029361821332106,7.54204691153179,12.872279884013983,10.992891263649508,12.468664277933089,12.967519605268704,22.07639713198806,16.407615657913837
Arauca (Ara) Cap.,50.283651366683856,54.82176551583457,80.1673493417509,50.10754790770434,64.26359759303617,48.97959183673469,47.513789327989755,55.475424386996565,37.8618044138893,45.3394048710291
Yopal (Cas) Cap.,35.64530972533669,45.10313371491008,47.27926493184943,47.475577467360544,42.15325975313626,31.104199066874024,29.26477871325019,21.74458476206406,25.482929207314708,16.524555489457335
Tumaco + (Nar),23.390445003216186,14.814814814814815,17.843962657452693,12.800870459191225,22.8673261393251,18.765907038388008,18.284238208611487,15.950700663704763,17.87615709255963,10.868257313754944
Tunja (Boy) Cap.,12.948895027624308,10.322235917737853,10.167038461308438,18.836493351306487,16.806917495421562,17.011914010445313,22.31358395207042,32.67467103805768,15.959495900060537,21.878486883847113
Sogamoso (Boy),15.664031262108708,8.968902369420936,12.895945837027483,31.059363203414936,27.508154202852992,27.059205541725294,30.509896647725107,34.0756782953074,30.098950299108317,27.670585419845043
Santander De Quilichao (Cau),22.743425728500355,22.49044156233601,35.215836005412115,21.975003433594285,39.838833808683056,20.574475127248654,30.08822930770524,35.11081852095677,42.67103246481817,44.062378504471035
Envigado (Ant),2.8491110773438684,5.127272896769352,4.1132515253307735,7.60776170700272,10.050339089701462,11.858678434993266,16.928368229168818,11.381975016564839,20.016012810248196,19.31422670172133
Manizales (Cal) Cap.,10.749631526519341,8.777381873045845,7.055370548061184,10.481374597340526,12.430853378084404,9.759241775001815,10.310202617894925,6.443384865599879,7.267489875065242,7.634553553121223
Florencia (Caq) Cap.,30.186127663171114,39.6732367951238,35.89439867908613,38.73612948594177,33.26482363703325,35.72181490243845,17.917935853789643,12.583004935969665,16.977352212148993,21.271831616659203
San José Del Guaviare (Guv) Cap.,28.416010392140944,40.132437042239395,45.44736010116978,58.24224892737192,51.1218403862539,47.853054313216646,55.53565030455034,45.610834327415624,89.33786894821839,70.65235676075767
Riohacha (Lag) Cap.,27.69916300355272,28.81827431468379,32.631844099933595,29.415845705564035,23.402512578850512,22.477994554194954,25.26766383107328,15.016833385811514,10.024440540746964,10.833011482992172
Acacías (Met),59.375811778676656,32.68013410958738,14.207740850806882,23.21370537165142,37.49020142462766,37.72580000887666,27.224515131385512,28.07563143174922,39.64724665945158,47.8636842273206
Ocaña + (Nsa),11.668716171943021,15.180604545251596,27.404526166902407,19.162260798369466,22.828540748945237,30.49685802107493,17.013641847372163,19.831735353119303,28.076245978267465,29.45908586190487
Duitama (Boy),9.523727067298118,9.388950059321093,8.413825598223,23.222446152952983,18.78532457773857,24.04231447347331,26.841398910554986,30.566179697786694,25.700934579439252,18.57700167193015
Villa Del Rosario (Nsa),10.32865789419323,11.324095616545533,23.491201013185712,29.24300940818199,48.06183301946014,32.62247408843487,17.078037643590342,18.617351371478218,25.576800959571017,43.01906007743431
Caucasia (Ant),28.75215641173088,16.484939829969623,10.405586643851453,12.473352383544247,31.037655326837594,53.73801642233782,29.34180053863162,33.01453671319653,22.35249890777562,20.008203363378986
Guadalajara De Buga (Vac),22.124418246323792,16.601709185488527,11.849183591250563,13.4208054062162,13.328629111294054,36.62832382555566,22.490209003838846,11.570592182907921,19.91360558806409,15.209241134913574
Puerto Asís (Put),23.352014945289564,19.645078907733613,25.6883679858714,20.449897750511248,21.582622905329366,40.857090975122574,35.70844058264272,39.622558443273704,47.77485016069722,31.425877781904408
Pitalito (Hui),19.86886548778065,14.42193491465608,19.99833347221065,21.27973023849667,17.690718001913815,19.734453197770797,13.993625126331338,23.128517462030683,15.297303085466032,29.60488860211789
