Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bogotá, D.C. Cap.",18.84985628875065,17.833373830523776,15.686650769225109,14.691268853457762,14.40825216179756,13.429830106192508,14.475055229228582,13.338981096740136,14.056057313573698
Cali (Vac) Cap.,64.66731547405624,60.521468271768256,56.53751901397116,53.86861982311341,48.1822144278072,41.018975271417766,50.115951090364135,41.60625575702999,45.53309855782834
Medellín (Ant) Cap.,20.81186974613397,23.13833192192344,24.611973578396473,26.121396926162554,23.836894439198808,14.525795918882904,15.700173323695603,14.772529830177142,14.244107065943808
Barranquilla (Atl) Cap.,37.217704574323584,34.08832988595827,30.40157173585353,27.77043219911151,25.0994323666834,23.93564842063959,29.450720925893656,27.657711815785923,31.72070111037523
Cartagena De Indias (Bol) Cap.,30.98664689219959,27.186676201397205,27.70621790260794,23.637139084009476,19.6276720285747,22.649153913151675,23.46909646852363,34.97514300473444,39.88475651529229
Cúcuta (Nsa) Cap.,27.200692056952008,39.99823537196889,37.93258713274523,28.382147348306553,32.568203022702974,36.54585088778107,34.776384042970406,32.19753884538363,38.71253179957969
Soledad (Atl),15.668166248248587,20.23931672066751,22.46859542120898,23.344409510611772,20.37409981741672,22.706049884139,32.04986190497289,28.024860386567916,30.889190082549195
Tumaco + (Nar),52.674897119341566,60.020601665977246,84.00571238844242,106.05708157721467,85.6194508626453,77.41624262795077,70.80554928766504,69.56156781669944,38.427052645062126
Santa Marta (Mag) Cap.,17.686970456366456,19.489092395062762,20.154407439855547,21.634962098751583,25.516125999781288,23.579125604331132,30.531336669232275,35.66314440314922,36.95809741149792
Soacha (Cun),30.692339264764104,35.84862617429979,26.66365017290973,23.78142897608073,18.32854911205229,19.6404210481615,20.162525266962042,14.969911714636368,18.5261152059707
Quibdó (Cho) Cap.,60.36105441231365,97.54639353676477,77.21465674575319,58.0329162701084,69.97739191953369,117.71450410854195,119.04220311481127,134.66949547841526,81.40038534494347
Tuluá (Vac),60.72728149022821,53.625721194129895,48.52405984634048,48.428427016479766,45.83800201872413,69.92303895581595,57.26439790575916,68.59081966029494,58.24607623067239
Buenaventura (Vac),26.481385241261968,20.756731111374688,23.934190811237922,31.14981764377588,29.014100853014565,25.975941788235144,60.92348520611914,35.15517366972506,50.94291563287139
Palmira (Vac),63.72796927025629,43.91641339596027,45.421800728484676,44.66151723190206,35.22567156038362,28.79038062576739,43.78836745176964,30.657235386253294,35.143548945001726
Santander De Quilichao (Cau),73.09393507759202,74.1386021166571,47.61250743945428,71.5288152474082,112.71234200144916,76.10552119007797,84.26596445029624,132.36728438066044,136.5069765432632
Bucaramanga (San) Cap.,16.58001207457401,17.78970083060113,16.483911526988898,15.83122537125944,19.475014060624375,18.438399283536484,21.488956792545284,18.57934267901197,21.977034800714815
Pereira (Ris) Cap.,33.36560138203833,32.241690684547734,28.96245255777361,23.54104380988253,26.671972836924173,23.0594913914726,26.206159279372216,23.693118488255426,24.058850394728257
Valledupar (Ces) Cap.,23.960994139448587,15.088710842100951,16.43503105799459,18.56858644085089,15.96309022066052,11.820863260756987,18.37782605020087,26.990406631307422,24.666554654292874
Villavicencio (Met) Cap.,29.02342150357227,27.5142352018296,20.50987157370136,23.151851677568114,17.074220895876945,18.155077369971135,20.73021264833922,16.420864964550784,22.031205500994986
Jamundí (Vac),31.835094211981936,47.549259078326,52.458848592247605,56.29327545550642,43.2507507964839,53.24654346174325,63.06558225596297,57.30151228733459,63.9326185392863
Bello (Ant),19.795352785838773,21.216081789996817,15.685321088326003,15.509397546068653,24.696997550726334,20.46530496926582,10.341796370029474,10.886972157446689,11.065466063598766
Montería (Cor) Cap.,19.010884787701226,20.258726916538222,15.070189925681257,18.12867283856315,18.041206114766126,14.841669074315206,13.541147425808251,22.22248213429397,13.753905818677028
Neiva (Hui) Cap.,17.09817831950989,17.476106438083015,24.362675248371808,23.503603885929174,16.341272237286354,20.306908739654453,26.673924877517695,22.683207405527142,25.728367401086487
Sincelejo (Suc) Cap.,24.88575177593774,22.336219669275042,19.44711485539419,14.400247684260169,17.094911647216843,13.947902881772812,25.833551408767303,29.555734144510932,50.65356252425779
Armenia (Qui) Cap.,45.29048621078889,41.15496747374209,32.91075015941145,31.1644670876128,21.652664610218725,26.577942276646848,32.09461102304004,24.63597940816059,26.189078838593236
Yumbo (Vac),78.1363044421936,87.88941219178997,67.14011480013995,71.73868485288911,95.51010662234019,64.5049923229974,95.76899794909788,52.03006979205914,52.550947698446635
Caucasia (Ant),42.38984527706474,26.59205475650927,61.23282079194448,168.49012891711837,136.49456171273806,86.9774801680866,74.28270760469219,61.977383335196045,53.021738912954305
Cartago (Vac),54.959337517174795,34.87707685572021,53.36377044684747,39.048397910542334,38.80055052856599,29.132860409899347,53.60687327045392,79.1218908693338,78.55908357258144
Ibagué (Tol) Cap.,20.70597706087364,21.69505583117023,16.949927248626867,16.237597590793662,13.617192731776745,11.642928030072019,16.95152600585196,14.339579629707933,13.02250508978192
Guadalajara De Buga (Vac),67.98795190247681,56.08613566525267,63.15673132337036,56.45066447136305,55.3321487577543,47.3069913529024,60.938452163315056,63.57035630035845,59.31604042616294
Popayán (Cau) Cap.,29.988721632951087,19.651492063696605,19.741827838524586,21.694088203760938,18.94462888714281,23.043102892063033,24.379912171366403,22.978080120937264,21.896803066752256
Tibú (Nsa),46.110665597433844,80.93329911762964,133.43905316289235,171.68663456873063,155.72465050433553,141.34636671718806,149.48938457403924,78.53621856462527,64.8713385119513
Turbo (Ant),57.34960487808992,81.50501505347727,78.58031563093445,83.49926135268804,51.73832947908909,43.01372598720342,58.22922653437793,55.10954884642309,52.06270990071421
Barrancabermeja (San),34.039180621037225,18.13483247948497,14.45785535164994,14.73933486294875,21.68737409274485,13.287207740747597,18.773966141152062,43.31847463074494,59.1992378098132
Maicao (Lag),57.414539425725586,58.486887617130996,59.2435152781086,57.45037577235581,43.61635501476246,47.54906198668626,33.811448345088095,27.591951479813627,20.033388981636058
Riohacha (Lag) Cap.,32.34704259811446,35.494286564840046,29.97086166227279,34.5718935823928,34.227855343887775,27.249441386451576,29.549252791435563,25.29977850759948,35.325037444539696
Candelaria (Vac),30.67554363880115,69.56131493324357,43.27419193768516,59.89654233596515,72.97468422351717,71.11696086444258,59.11163654788043,63.932587802500706,57.234432234432234
Ciénaga (Mag),23.94513144166795,24.68169129161844,14.367573232365917,14.991130247936637,21.261806435785253,36.191380017532715,64.160956869579,61.17934961645254,54.41246200844171
Segovia (Ant),163.48924850365773,92.88348586258708,45.73457803126093,65.96306068601582,204.17657396877908,142.2077757180223,130.03250812703175,135.44462777353658,96.99085861157586
Saravena (Ara),48.507897085645546,30.62318174858368,52.523964058601734,55.80156244374843,85.43142871501081,47.616024379404486,61.99628022318661,186.7899684600545,36.34931693575258
Pasto (Nar) Cap.,15.230208473158696,16.4446637066272,14.588190731636155,12.470414577660144,14.513122918512634,15.537878035299004,13.246146517664501,11.704566562088909,11.182384694365094
Argelia (Cau),7.896711019860228,19.544992572902824,7.720517274657402,91.79926560587515,125.1137397634213,293.3654280126373,291.04477611940297,125.86532410320957,117.52607609813427
Puerto Tejada (Cau),48.61448711716091,29.119852459414204,41.10549604661847,139.37282229965157,129.65808682289668,93.3170626659967,121.06537530266344,136.5927181950921,121.49816584499638
Malambo (Atl),7.542173319142873,14.803970753933333,24.949497388351,17.160284860728687,16.36076984858851,22.2117134545663,35.18772652098948,48.685153114806546,55.02214641393161
Tarazá (Ant),86.05178753031369,7.7003041620144,98.48111813946443,400.5340453938585,316.1681869389832,239.32845150919806,225.12223433817582,58.888734931411946,47.75060540946144
Tame (Ara),57.48419184724201,71.09062829407006,50.10856856522465,75.11608850040972,98.41466806444022,36.75794890645102,63.823846184530694,173.38534893801474,101.34871754892023
Ocaña + (Nsa),22.324418448899404,27.404526166902407,33.098450469910894,27.9015498042664,32.90450470694927,30.93389426794939,41.95174786236776,33.38796819037212,42.30022585299161
Corinto (Cau),44.15188247571646,15.957234611241873,15.958507879513265,118.64272720082259,173.6248125641228,188.67924528301887,194.984986156066,116.06762873834487,226.46144397958008
Puerto Asís (Put),76.94322572195665,41.74359797704102,50.3382098474123,61.66463687236962,71.1216028085467,62.48977101962476,54.29758008893063,49.22257289283956,98.56298031597291
El Tambo (Cau),22.551728026160003,14.968379298731431,14.918414918414918,37.11194819172032,53.86329866270431,132.04634640778144,83.02889405513119,100.67912647128816,50.84992009298271
Girardot (Cun),52.28787255109193,39.75416881554066,48.60694562227232,37.61705834603734,32.26449292553545,26.413582046050713,41.17317261195599,40.766408479412966,56.15657775208523
Manizales (Cal) Cap.,20.63870872851321,19.51985851630261,17.236038226737755,18.416079078643563,12.936669329653569,10.08606777837547,10.220541510951533,7.707943806887378,8.72520406070997
Dosquebradas (Ris),24.388960886801744,21.73995236114787,26.615241661724944,21.180782583871295,15.853531487378323,16.087084752124834,20.394229319808115,19.3240109619844,26.94644611145398
Pitalito (Hui),18.66368047779022,29.164236313640526,19.642827912458465,28.948447639495335,23.681343837324956,27.987250252662676,39.31847968545216,33.65406678802527,44.78688275705014
Villa Del Rosario (Nsa),32.94282361176882,31.66205353951118,46.385463199185224,35.31073446327684,43.80732234732682,41.34682797921872,42.553945991950215,29.98659422846257,38.62936006953285
Ipiales (Nar),22.820229255533906,20.92524456379584,18.20577729999653,27.553902321416267,25.863852679495135,36.25815808556926,41.447197996718764,38.81451835495446,45.6605269052501
Zona Bananera / Prado - Sevilla (Mag),20.964022512134942,25.036772759991237,28.769135260360677,24.7373475742848,27.941546285171423,40.57727942867191,38.62495171881035,67.26102553281284,112.40360737158541
Apartadó (Ant),23.842533313317382,30.288607156765174,45.73790486515788,47.93269588357313,28.88156152976004,10.95941883767535,45.47171120068439,44.02143388436024,33.62952223658743
Arauca (Ara) Cap.,19.123871691570198,16.283992835043154,20.77630035197497,36.221300461529474,38.095238095238095,25.82271159129878,61.52728886557801,48.82180042843621,39.42556945306879
Puerto Berrío (Ant),34.285412875491204,52.21659443371104,98.13796131298261,45.78521646232894,117.35916899720335,78.59897330091125,84.65352521465715,111.95007503036945,110.23031099019653
Ituango (Ant),41.464058200459874,7.511737089201878,59.73269618457403,225.30841397650883,116.70739268390533,176.3287631796754,184.26647767540751,139.58682300390842,103.08215647871354
Montelíbano (Cor),28.462016145725524,34.315345314048955,18.723552981413754,44.09549123602112,79.84935882156648,57.05303603656051,47.342470815098785,28.673999564155206,20.516327577363654
Remedios (Ant),77.16616447416772,10.897203051216854,14.352865190713697,14.077071969030442,116.9952857781907,97.87707988794762,126.27101747856716,242.154520763114,77.32955277741978
San Vicente Del Caguán (Caq),34.54793017253643,70.30653649913623,67.62132060461416,82.80920365149156,135.35986386665118,49.43623676154621,65.85260305932378,59.57145782526946,58.927519151443725
Andes (Ant),63.52193859545936,56.22847503689994,72.40114907630148,92.44493748411102,80.06771440990094,92.76227968958574,98.02829453046675,72.40494108870702,79.93259737734667
Patía / El Bordo (Cau),92.65820025072219,19.09802744659373,21.788865889530452,111.2679114198871,64.54562568915902,64.01024163866218,132.29963220702246,105.00341261090985,127.61413652108237
Florencia (Caq) Cap.,40.87545609194573,32.304958811177514,58.99810490935745,32.076794221424926,24.00974444262257,24.27591309223113,18.30255263413769,18.109175692958928,17.35333631885356
Cáceres (Ant),43.1483945201539,17.77209070875098,56.04006864908409,117.25755276589874,151.43357114012653,204.24298326525235,103.78490578276522,67.0733654859625,53.462481917101705
Aguachica (Ces),25.568405318228308,20.247989663883374,14.135074774545558,31.015954972131254,30.549275982159223,16.856015912079023,28.892190853557867,37.428194821890614,30.50910054354371
San Andrés (Sap) Cap.,32.48686989008609,21.706492049997287,39.676098757416725,48.83254055813786,37.26179069519855,66.1640520258388,63.44742437752932,42.50471802370063,70.93516188417301
Puerto Guzmán (Put),9.114385538508278,11.881423394522663,49.293936845767966,53.68748233964397,52.70165316764673,57.275330696849856,40.351868291501894,164.5347911469667,115.21340665095573
Florida (Vac),70.75888908544135,63.47750956570804,43.95295275936637,31.373095827378254,48.530227398779815,50.03364331188213,44.617575892780536,66.45197566835351,65.97980003045221
La Unión (Vac),114.30290269213415,92.7810367532623,113.27053773697389,58.904956852119106,58.404392010279174,110.16728031774564,92.2589015424535,100.19179572324164,96.63758064974562
Itagüí (Ant),13.360971457147548,10.891732423936272,15.864934068285626,17.705894256063367,14.094730684933436,15.517562432326185,9.505993868633956,9.027141605761322,5.596413028449531
Espinal (Tol),18.530396978119878,35.60695617495834,35.52195967547138,28.37120889721111,25.434865548474612,15.489685277758221,54.75913003187262,67.24290097081939,57.30338649037722
