Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bogotá, D.C. Cap.",31.64230163482468,31.56766596569766,36.33789613854039,46.52843242930888,49.24070827834788,47.90019480114966,44.27969945589818,49.48835019728325,47.21796818969398,50.200204691334626
Cali (Vac) Cap.,71.64356112099914,83.23515853096347,74.82074670467664,75.71584342689,80.66825818511232,93.86609181120959,75.06827617312494,77.84530552626606,71.1997464166667,70.38912081071551
Medellín (Ant) Cap.,51.665481485227815,41.235940677122585,36.57898061186427,43.31204208940981,42.148563178965766,38.45309829296429,36.70921251239429,34.82018638126549,39.49546835425598,36.77843517555862
Barranquilla (Atl) Cap.,23.266655843620292,19.515548106257842,16.872866802848687,25.743949325068172,20.558409508595986,17.939658390289736,16.166372375907397,30.530066718989243,36.64837295700559,32.926238444736285
Soacha (Cun),3.2607965934266177,4.3586753985463815,1.8867697986473575,21.492518018163604,18.934258738917777,22.699203131080143,28.797103834128684,31.009453416909977,34.14624490280692,32.36055188575402
Bello (Ant),37.83500611180868,32.44805250462232,24.818812659996276,29.998176581423483,38.29480875572508,41.966326665143995,30.607403007132067,37.44443513286534,42.4943106790661,37.6917437791333
Popayán (Cau) Cap.,35.28244088542439,36.83397331003775,50.90058600105022,54.449234844962966,48.10428253877425,60.560698901522095,47.315171271702766,59.426035917705605,78.3068783068783,63.89067196189357
Cúcuta (Nsa) Cap.,13.163661711844453,11.891012921071916,20.587327029689867,18.82151269945374,14.191073674153277,10.411146867913246,11.324066472270193,15.865138705734676,11.616366955981544,11.940553639480749
Cartagena De Indias (Bol) Cap.,2.0477845127135086,2.137010130496524,2.0099099137219723,6.064002408872681,5.241278666454275,7.3728311173326295,5.832400149309444,8.621300743539292,10.900112318548674,9.103109134078474
Valledupar (Ces) Cap.,17.664763046210126,29.89628626573402,30.824080720291946,27.39171842999098,25.50630005611386,19.467183195927465,12.571394261439968,15.621152142670738,17.75207952931629,13.941965674165536
Itagüí (Ant),24.80831698827032,29.394137205724604,27.41711954990855,45.012138519322015,26.73951377446304,32.77024884247024,24.828099891721898,26.141483138743375,32.43084206514253,23.702455179315656
Ipiales (Nar),27.388546286643223,39.496550634577915,44.46614469806616,63.286749661892706,49.08038851002273,84.48858541968411,43.164473911391966,44.037647871513684,102.64283742754624,65.4754725433775
Soledad (Atl),4.780668447772117,7.744036191663095,7.2157563960640685,10.633991726068373,6.7880907087594515,7.522744547969252,7.0674459904273705,11.815617292155906,11.82298797558334,13.712490924496139
Jamundí (Vac),28.355004658322198,19.896933882488707,29.962546816479403,30.06787663214192,35.6524077884874,47.514909325714704,38.289649230916496,39.86220765235395,32.49054820415879,38.71149379443024
Envigado (Ant),23.742592311198905,37.28925743104983,34.73412399168209,19.243161964771588,21.84856323848144,20.32916303141703,28.90209209858091,25.609443787270884,32.02562049639712,18.525890917977602
Pasto (Nar) Cap.,42.51899095175131,33.299947339618164,16.4446637066272,22.77805219501084,19.59636576489451,21.133143898886818,10.443491794217362,18.850285428984098,12.976802057968138,12.707255334505788
Riohacha (Lag) Cap.,35.527187330643706,24.70137798401468,42.93663697359683,41.626196753156655,40.954397012988395,40.35821749503185,31.21299649720817,21.314215128248602,21.48094401588635,19.311020469681697
Tibú (Nsa),8.10602683094881,12.028869286287089,17.76584614777236,7.735597284805353,20.52774978539171,65.47513714386834,83.44544541135198,132.69282450954046,116.96883616008022,58.2178678953409
Palmira (Vac),17.612352129626913,8.47757389374969,25.011997033460815,22.276934115244078,13.169421747868558,10.510885868824143,11.572603977024148,12.911954505008996,13.377702714001437,24.628156347284676
Yumbo (Vac),32.123353678124,18.328268943230597,38.21278790947391,44.44486472685321,44.72021912907373,41.32648844235873,35.43231972671688,41.560131185457564,43.95643827260168,49.87886561208494
Pereira (Ris) Cap.,16.347232899468935,10.316995164182904,10.456764546339805,8.861645931856104,7.49033212132626,7.408881343590048,4.821530018216998,8.319415644245149,14.833952444820786,12.844979448032882
Madrid (Cun),4.451963315822278,5.2872566540124994,1.002194806626512,20.844189682126107,8.017531669250094,25.81891777091124,18.090578741210336,46.89367237962697,46.92976667106633,27.094667341656628
Maicao (Lag),15.827271708092352,21.288537090437575,34.58901955851833,29.31637869432178,35.17369945246274,35.787778473651244,24.31486124319184,13.207597009800038,23.94773147304579,17.465005778862206
Santander De Quilichao (Cau),34.11513859275053,28.11305195292001,25.94851074082998,18.31250286132857,29.87912535651229,23.258102317759352,25.663489703630944,28.966425279789338,39.187682875853426,46.654283122381095
Santa Marta (Mag) Cap.,2.162657819954411,1.9178642663529895,5.867683731846854,8.431945969735484,6.610682863507427,8.057723999930934,4.455897751999584,4.387737006356734,9.594653062776185,7.355737834327255
Copacabana (Ant),19.230505075479734,25.746652935118433,24.013767893592327,39.36491274111009,32.09901905397771,36.25,28.110486433634804,46.92801963757129,65.1743710673192,38.503722026462555
Mosquera (Cun),4.921017666453422,3.7149172502182513,3.4980935390212338,27.11162595814951,27.645310664178584,19.834101904782145,6.637241562406664,29.99744702578504,30.31990594641421,22.261932696762393
Villavicencio (Met) Cap.,8.709372297309615,8.349203446233117,15.415777169819421,17.25129384703853,11.858265493388547,7.423574302555195,6.235077076555743,7.273758823978674,4.691675704157366,5.194349264462232
Candelaria (Vac),22.99696440069911,15.90583744234134,19.0732637720184,21.082298636308156,25.047644976858155,33.267870748956355,42.457887083249304,33.778078027360245,35.63455713582007,21.853146853146853
Ibagué (Tol) Cap.,4.290598323936273,6.192441737831369,4.991782757614389,7.046598968530271,5.664278229346626,5.409569715363364,3.880976010024007,4.053625784008077,7.537471343820836,7.520038150437446
Corinto (Cau),24.140983342721494,28.09665248454684,55.85032113934655,59.844404548174744,79.09515146721506,106.54249861889353,121.85534591194968,140.3891900323675,104.46086586451038,115.14988676927801
Funza (Cun),5.322475483347305,6.336332530731213,0.0,42.17629692113032,36.49870107563819,17.1048527473412,25.69324172582456,33.85766967725405,30.163236337828245,10.351698972593876
Caldas (Ant),6.708797917589126,17.190764592314405,15.631920381418857,35.8974358974359,18.83522941309425,20.818535844620246,34.76259544729871,31.864422781882123,25.568908207619536,27.4646678491732
Malambo (Atl),5.961962678113635,3.352077030730166,9.869313835955555,8.853047460382612,4.680077689289642,4.46202814052414,10.747603284467564,23.223899503853055,18.08305687121386,26.135519546617516
Rionegro (Ant),5.591277606933184,17.26966583196615,16.955291977834808,18.896304638664862,12.549366995164801,16.481193525040666,16.084478478268473,15.147133749191005,17.629030945729706,14.687621005968516
Caloto (Cau),33.45973678340397,32.50623036081916,63.124671225670696,57.94730204179024,72.89354229482124,82.93799555452344,72.80910775747948,68.9496667432774,68.40613700772012,87.25439503619441
Fusagasugá (Cun),7.866513998024631,5.862204691438669,3.999680025597952,22.10130016614081,19.49486635186068,11.599661562815578,8.433727123515178,13.72460947247592,18.144429660094353,18.819212063114932
