Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bogotá, D.C. Cap.",87.16454506987434,81.4077309158954,59.88288048160519,228.00839910437537,251.3164806896829,246.1519496380223,152.90636373790912,142.00616351425748,146.7541032237179,114.18036557044061
Medellín (Ant) Cap.,59.55700228592505,76.56872161258812,78.04933653810573,184.52690923087374,203.73865583576318,206.96222536736803,172.7306601658467,126.3397610775604,151.1313997392993,104.60751644195771
Cali (Vac) Cap.,46.17131485440431,44.08719385925758,45.630181496096164,119.10510220505392,180.50476692394918,178.09574073685775,160.7908316375272,161.38660901786866,119.11928018108586,89.06378551559922
Barranquilla (Atl) Cap.,44.796994086970415,42.830583454441985,48.30607551678508,172.67076537438817,192.4035018929487,152.28597907093487,103.19795958406905,101.99817744753223,118.78339592509712,79.41477190103443
Cartagena De Indias (Bol) Cap.,27.914536252252564,25.109869033334153,25.494120484578698,143.75867779655061,143.87823790266637,135.30141428834744,100.90052258305339,93.11004803022436,95.16271972019887,76.57873250936119
Bucaramanga (San) Cap.,86.7905194120854,92.27137154545535,175.58434719803319,217.9734258302894,274.1211088740901,216.5755873983228,118.36793825770297,126.32901871981169,122.62366168147899,104.75185200632681
Villavicencio (Met) Cap.,123.95664758031357,113.11182764063437,120.78944390023065,184.972206248802,183.332549056515,154.7815242082758,128.00246468929143,134.20085030240654,151.93811318848086,144.54620194555247
Valledupar (Ces) Cap.,40.02522259837484,60.67187506869551,86.00565179997542,130.21601530564945,162.8322195582309,146.97723312925237,95.12980433656813,153.63862577967927,167.1956061791728,159.08140320522216
Pereira (Ris) Cap.,187.10954413311066,123.14541036397041,138.33428097762035,241.85809262797514,221.07180232371505,169.98090625436595,128.29462483255665,199.87396085298968,149.57568715194293,152.1008677497227
Ibagué (Tol) Cap.,96.7334894851087,90.1774328071693,91.96399772681893,171.02286145243738,172.94929526938364,155.38522665164422,86.85993927196586,110.00066332058285,139.90282177189405,115.91863685552356
Neiva (Hui) Cap.,82.34866601022178,91.57668388076483,86.80754509408449,126.91254082872756,143.26006178090165,133.77685577303913,106.74847972602139,130.37561241154054,174.17462829244053,316.2445159716881
