Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bogotá, D.C. Cap.",387.7595168530759,378.97697938958635,519.8524349951609,1048.1299427089716,1429.5319596479817,1097.7856249836423,1073.5599574119426,1388.5330756926678,1735.484967512494,1864.6615031572792
Medellín (Ant) Cap.,215.77423448978266,337.7296792343645,571.0574345289414,747.4157427742683,905.3906899880476,919.3880323409732,701.6590985164742,918.0715212846162,1097.7979745560394,1166.396418021584
Cali (Vac) Cap.,419.39709258404235,395.7786054543725,472.4226575254507,629.7109876383685,723.8146883565672,900.2007954589334,600.3686380634782,837.4000109504457,1070.7144131698487,996.2433017155444
Barranquilla (Atl) Cap.,385.809770780032,405.9406710067173,453.6831241354797,598.6315058516674,797.5502333959756,1063.7386990354833,664.3123405925054,821.6905330580488,881.4657520573757,976.9373173328391
Bucaramanga (San) Cap.,503.42147919489025,571.1093289600548,742.5421126692912,754.7527150229811,884.9999139607316,662.5065559810286,752.6817993243643,1023.3301696813611,1289.7295009265438,1460.7509408416724
Soacha (Cun),77.68368354928118,70.64686375143927,132.93150854106383,433.7287094793316,538.3388444649103,593.5129049452767,532.0165404194557,790.1668129938544,1072.0188843580506,1019.1769352271675
Cartagena De Indias (Bol) Cap.,117.58594228265461,115.39854704681227,209.66533942089208,365.9311798457652,513.7480794824494,898.994848039434,392.03449670274983,513.9253165454256,604.1505732037326,720.2717794232195
Villavicencio (Met) Cap.,542.8166920183667,554.4268669415277,722.5901627828014,852.2139160437033,786.598277728107,1154.6844286921894,590.865245313606,804.1140379908422,1084.1379857914405,1270.824414874467
Pasto (Nar) Cap.,470.30152186876154,490.4643406610427,907.5398783094886,1336.9948838959172,1061.5122286412338,768.3454364683345,821.2150620623604,1013.3302086013342,1346.0251546402246,1637.202777297726
Ibagué (Tol) Cap.,382.448332419956,449.53256740569594,594.7901147342068,642.0023006193389,712.5662012518055,948.9016726261533,582.7008266478902,775.1638033328175,983.1804084574106,976.5044661689991
Neiva (Hui) Cap.,539.2225817039434,568.8766786643714,663.8055510989892,667.9905608797759,862.638223575234,614.4973802804471,766.7230137647911,995.1007076755579,1493.5811923806027,1657.603670580416
Santa Marta (Mag) Cap.,258.4376094845521,210.9650692988288,306.79603512227834,526.0711656239846,560.9064247824484,445.0097904823431,375.22372319963165,570.7714555769052,853.9241225870805,983.1571544417892
Cúcuta (Nsa) Cap.,208.82354261062335,242.72530125138044,328.8090231313324,348.34276580681313,328.7832910645413,1151.8955498756177,337.14834269713526,383.047908911258,370.20856429280315,486.54613829926296
Popayán (Cau) Cap.,290.173345599752,464.4992209451663,778.3279479654262,867.3667585829188,977.4915974709095,478.5033629558971,686.3772248115841,877.3720892670485,1047.3167044595616,886.0706336874815
Valledupar (Ces) Cap.,185.3682096874455,179.59754322871098,265.34575780894676,451.5419430420821,489.51691067693724,568.1553578913054,313.90959103565774,497.30397291843553,670.2315740660232,768.2380572764548
Pereira (Ris) Cap.,398.9608461681202,368.3386784148705,503.2317937926032,528.8889657378509,480.87932218914585,391.96633571814783,379.22381751976303,543.2578415692082,761.4762255008004,728.2899458471977
Soledad (Atl),114.91991460990666,89.32655700150919,147.13103285633076,232.747206004432,354.63634873567673,378.81109025174226,302.24609448423433,374.55506816134226,451.1710596608408,455.8320667321979
Bello (Ant),66.1073183711822,114.69060067671535,224.97052765996628,286.64924288915773,337.1857910941593,587.6200057296282,295.0263875657878,436.85174321676226,453.74090411035877,457.6607604741552
Armenia (Qui) Cap.,428.73655819818555,402.38855056508595,445.4420008922674,505.3171430726299,543.6844529958538,460.49043225307935,441.9813363783124,592.291457970648,704.5250215164886,710.2604393454624
Palmira (Vac),243.6375377931723,282.97556997067926,290.2555004580685,315.3488076054032,432.0142916855142,526.0532703754199,316.41192824985535,411.4983761813736,612.8660055851909,626.7727429955033
Floridablanca (San),308.98370110976646,331.88886795460803,419.5285739236437,435.0140801658797,435.7134293592752,631.443934685018,399.81032556447633,518.6838597787163,599.2127364579515,627.2529044467864
Itagüí (Ant),146.13649225902984,259.966330351928,392.10236726170575,456.39356842951906,582.8491313271471,678.0622919437221,377.24918446588555,601.933111753143,592.7822987783269,589.598572585477
Envigado (Ant),205.61084941498254,352.84959844130907,496.33235072324675,511.062580552771,589.0372649094595,308.50462456250074,445.9179923781054,633.3256098502864,620.0960768614891,625.1502765087761
Montería (Cor) Cap.,203.13090729669287,198.98059411127284,208.85285480967238,302.6424442609414,302.8914214712742,586.8090079718108,199.8678102007781,230.59200326557527,299.808574759159,393.4391932075077
Sincelejo (Suc) Cap.,489.70438483747074,572.749347691658,634.7209089352325,497.18567224639867,545.7693872334604,717.1245895973734,389.18050967678283,429.7763552549469,532.9994753026972,470.3545091538224
Yopal (Cas) Cap.,395.98698622146753,383.059008874518,398.7632739646774,516.1447396451505,603.8009178723884,613.5117160014265,541.3984061951286,756.6000390287419,1050.8938414407826,862.0309780333575
Barrancabermeja (San),297.26881082242664,292.635343846529,439.7696876275105,566.8476391319305,547.8119457395953,610.6069943543646,438.95239857826874,576.8301096868972,724.76931747784,645.1791933178861
Mosquera (Cun),16.731460065941636,19.50331556364582,195.01871480043377,497.04647589940765,526.0288279156204,751.5498060973193,489.8284273056118,761.4245596119479,1064.290576078213,1075.792855724626
Chía (Cun),40.1940531496247,35.63537880407669,370.81248571356,742.5245835841862,804.2003011022765,408.98031810589,533.5294510931336,659.633151387737,992.9254838408077,1052.7591745204402
