Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bogotá, D.C. Cap.",388.3125391416372,373.2407349322373,361.21545785190466,395.74689790283145,348.93257109201517,217.45994133488637,242.51461578493286,280.90324897841,278.9750875209194
Medellín (Ant) Cap.,298.9928864770675,278.4681233324132,264.023164605047,242.59114369281565,230.7588547821763,128.56118833641744,128.3217136506012,181.2887922423552,197.72177189155337
Cali (Vac) Cap.,223.91172316900943,230.47340174824618,214.49799715725547,212.37703365262462,204.86363764119506,88.7856607606445,93.2995635717528,101.05629032661129,117.27167066423476
Barranquilla (Atl) Cap.,338.6724764280675,333.94572418429965,299.0193587724201,324.955505135872,328.142899434941,134.7459289778301,135.4578970334952,202.74702793886047,182.86494440589237
Soacha (Cun),542.1102526942062,497.07807968000384,418.3769108949291,369.89967872349774,319.19873222835685,166.94357890937275,202.13569634726502,278.1186903677897,277.53082974139227
Cartagena De Indias (Bol) Cap.,277.5976159514984,279.37747800735417,239.73719868181135,235.13814880092906,260.44027757712826,112.66252955082743,104.03036230537414,172.12699104769035,178.5898627025911
Bucaramanga (San) Cap.,521.3692927363328,496.5105501820776,429.80922502818925,423.1411216079018,336.11188059801725,217.63896297174313,218.47106072421042,260.27235700772417,306.71598933552355
Villavicencio (Met) Cap.,577.4865716977906,550.0895676167208,472.49377036611077,396.4048750647028,388.06734666607275,210.70892826360438,230.94184266132288,325.3496651767589,305.9292601276377
Ibagué (Tol) Cap.,470.625572075184,483.4349609105012,435.1750984619369,424.2544393780623,390.794777713319,190.35263287260605,219.44855948880095,315.47075185357454,304.65325287503896
Pasto (Nar) Cap.,639.9268949993289,579.4174477881928,562.2851760948181,471.0762731275291,467.9845600741442,233.83232846564727,239.70430525235182,273.27618451485847,308.2780144151105
Neiva (Hui) Cap.,659.8737632800681,597.3390479246408,503.6841464140125,492.7362671800152,361.7237549473894,196.7574806261114,222.1012520413718,291.101161704265,309.5444202943218
Cúcuta (Nsa) Cap.,316.15230603899954,298.075084922724,275.9523323473756,232.11538326436846,182.86245139796344,88.66229317493367,98.99846552378438,133.84074971022216,142.53250344390705
Santa Marta (Mag) Cap.,437.48614875807635,387.26712630189235,341.5966403836741,279.25127005240466,252.66720256926283,133.3056077473209,125.78179418222636,186.10006317988527,181.56113873998007
Valledupar (Ces) Cap.,392.60858287206594,391.22871683447465,310.79065141720537,255.67515176248534,239.6410251418671,124.77577886354597,130.48256495642616,172.9922035765006,190.36145439726022
Popayán (Cau) Cap.,505.5707310076862,488.38790112400085,442.28062689855886,428.5368437931327,398.4583420033479,154.23516869087524,179.80185226382721,202.87226001511715,192.57188450486228
Pereira (Ris) Cap.,303.1440493986509,291.26446246784,248.99063691459102,232.20029576111406,190.09072704411037,77.77337551123941,136.0224457834082,164.6156667140529,153.32419912572584
Manizales (Cal) Cap.,291.31418757027836,296.3255630185697,239.20826025486045,218.6909390588923,211.75285060643475,55.58544020082481,101.31667236943258,170.01521768334445,175.3766016202704
Tunja (Boy) Cap.,596.2609218363865,574.1386425209471,506.23075881636186,471.75278763010874,422.46253125939194,205.84281195784965,283.5496876522972,413.29591106708494,450.1498676351544
Armenia (Qui) Cap.,504.81472707256233,437.48767944776256,402.4710488244691,347.8903010758516,300.8054791235001,151.26458505597773,154.63767129282928,237.7212038995236,180.1682411667077
Soledad (Atl),182.07489743654392,155.75474171991954,152.82075206333744,162.7486138222083,128.5135526944747,60.29884770556117,64.39511424224969,107.57459429635706,104.93664107482834
Yopal (Cas) Cap.,553.3074572631926,602.1885322898717,550.2297696217171,495.74608301223634,350.78624503196824,230.17874026383325,258.70480332301855,370.0564502279614,370.15004296384427
Facatativá (Cun),682.1853367819267,556.149561942454,515.0768063720842,536.4275930321785,515.537057182046,234.00736001230942,281.12573595141953,321.56070504276516,298.1448763250883
Barrancabermeja (San),486.70947813363676,442.2884143607723,411.79960415389144,385.679262247159,370.61312616268424,184.59727896967195,199.00404109621186,229.6344945479275,237.72193933003115
