Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bogotá, D.C. Cap.",120.53028361291386,184.4013658240144,345.8743133397745,443.124033979657,456.71094193292845,476.5127709926851,481.7951550596562,461.72107385507616,428.4799648883594,408.2531646522789
Medellín (Ant) Cap.,126.96192581011258,248.3635967219797,335.5908802646617,255.84712568207033,340.5257816951633,407.11966161273506,394.9990210876663,392.6209185378631,324.30678181585773,298.787102978488
Cali (Vac) Cap.,150.12561718564265,194.68795047599536,211.43805657322804,213.99927004486278,213.94820173079873,301.0942270122878,228.31232664599736,257.24716392287354,236.79176748547837,212.60387510175298
Soacha (Cun),43.73303666478052,182.15630936425086,194.16576473352808,245.9519731101128,216.75939404313073,322.1594978541499,361.62261727189247,381.0462053617004,376.1035670454096,362.94343880788057
Cartagena De Indias (Bol) Cap.,32.117883409927664,176.08963475291355,227.43717444748634,231.16395389685343,175.94253092097486,238.7203156368781,210.54964539007094,257.10634661843847,259.2331060107011,300.8718338541813
Barranquilla (Atl) Cap.,108.5198500168857,140.9264358823575,135.7537760533765,120.59007841742459,122.35569530115997,155.8256426098261,130.03727682950756,159.28060060967618,203.88990859240533,208.6333049278599
Pasto (Nar) Cap.,125.22361359570662,304.3460303365102,363.32428876829465,521.5918019486752,506.9605273203878,581.5433815067167,375.71098527977097,413.43261150325935,552.1502052115856,484.40057335136066
Villavicencio (Met) Cap.,251.55907891298932,286.45719442909336,348.5136458898416,377.0366110791643,292.3156557338478,397.53240390183066,379.97293243010296,401.3296431130233,268.32776046469246,209.5651254972694
Ibagué (Tol) Cap.,172.01398735053604,313.6858767820203,341.1691523184911,220.34905423214926,245.07443805639736,341.7355765015753,289.40992531893306,311.0236510638925,320.2506117301438,319.8767447405587
Bucaramanga (San) Cap.,342.60375204896735,287.0865134217,369.6699832598915,318.10442031870065,300.62120351728527,267.2777791768449,340.6165010503302,343.9861038079408,187.8937003103558,183.51626140158942
Bello (Ant),63.61270258359042,130.60851322615272,155.9181859849766,160.9706076689456,205.45164897446503,280.5801751815601,196.8653672707252,238.75285068050803,331.87705447700387,336.1135316818125
Cúcuta (Nsa) Cap.,278.97987605215803,320.4627982228881,197.19718247724364,179.81783671324268,181.11182144538193,239.18942547821203,227.8968377544376,252.95377152423367,110.86054551469344,105.0768720274306
Popayán (Cau) Cap.,150.3625518107806,434.18453494663964,585.034583404476,529.5267692817159,501.1648782144194,539.4560717535584,401.8717144375793,405.9255376532506,395.46485260770976,404.9408786317198
Santa Marta (Mag) Cap.,130.408266543251,163.65775072878841,196.56740501686957,252.75272187329048,189.90688953348612,222.93036399808918,206.0852710299808,249.18689748600954,286.75340474410336,261.03898899868676
Tunja (Boy) Cap.,292.8916732438832,416.5325787981274,857.6195972656648,768.1757444829676,653.1515868048311,788.2186824839663,856.8416237595042,851.2028709405874,510.7038688019372,648.1501739339707
Pereira (Ris) Cap.,288.7274783730527,227.8519357536565,271.4401796820708,234.72554834135926,168.21145849606972,232.6388741887275,205.22947338410614,295.33925537070274,189.33892078875422,207.35466823253083
Neiva (Hui) Cap.,337.8932808177428,288.06083473886156,353.81953198413976,444.1938929005465,246.78784080225634,311.3150846560993,377.3243177976334,390.5824714207948,203.87882846634514,173.93448378442844
Valledupar (Ces) Cap.,26.832551462597657,209.27400386013812,69.6236228856944,84.2822105538184,96.51583941233484,115.82974001576841,168.30657690315897,199.2156343841774,243.63823435643275,183.56921470984625
Barrancabermeja (San),208.7533129355423,871.8094618761177,759.144237405107,498.04818952752726,419.0884212698428,535.4371692675451,380.10905001210085,438.37210939590074,445.29528760206625,515.2183665635305
Itagüí (Ant),79.85177030599509,272.18207568417716,152.4842539351078,180.04855407728806,229.81528054808777,380.20536022607945,295.17852093491587,365.98076394240724,244.06716193354686,266.3234200009218
Montería (Cor) Cap.,63.65195622966822,198.55813000487944,164.1583438804025,131.09000825763832,161.5285119211301,246.7636080808567,169.19502744719335,202.52846584687123,121.83378363099763,73.99988764414965
Soledad (Atl),102.7843716271005,190.5393090878966,196.58536327813573,129.66609265980145,101.9869238194103,124.12528504149265,106.01168985641056,125.68862894530845,126.84168581212249,118.79347400905601
Fusagasugá (Cun),42.828798433689656,83.7457813062667,240.7807375409967,214.15397747191614,161.73518751173302,247.68689101776795,374.9764828762902,534.0120776563358,482.03701463650657,432.25377707467106
Girón (San),384.78655301085206,296.30424144103074,356.11694801873057,348.59057908328367,381.5389986471575,333.84679009607834,470.02978406552495,446.38491495101846,274.0195238910772,237.50410955798162
Sincelejo (Suc) Cap.,110.98440497484737,195.3154457566023,328.3424291383431,221.25679731703198,235.80405582976027,223.6293544054285,218.74394031658338,283.833564828794,154.75249563305726,143.40878740634025
Manizales (Cal) Cap.,59.72017514732967,76.62417148631916,109.59342251321705,91.77025758560372,90.92939045080259,156.14786840002904,127.75685852608929,122.64649813141838,111.87529868282252,139.167004768324
Palmira (Vac),51.36936037807849,57.88136658491167,83.76110634461297,77.53530315435601,58.1172307568982,76.98513703922548,116.57281567099933,167.57471390196457,221.84690334052385,200.89934278796264
